timestamp	room	experiment	file_changed	score	baseline	delta	status	description
2026-03-10T16:01:27	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Simplify RSN detection by removing unnecessary re.IGNORECASE flag in the regex pattern.
2026-03-10T16:01:30	validator	2	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: remove ambiguous wording in AI detection phrases to improve precision
2026-03-10T16:01:32	validator	3	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: Remove redundant check for 'AI_Assist markers' which may falsely increase false positives.
2026-03-11T04:16:11	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove redundant re.IGNORECASE flag from RSN regex pattern as RSNs are case-insensitive by definition.
2026-03-11T04:16:14	validator	2	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Simplify RSN regex to avoid unnecessary re.IGNORECASE flag, potentially reducing false positives.
2026-03-11T04:16:16	validator	3	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	remove the re.IGNORECASE flag for RSN patterns for stricter matching
2026-03-11T04:16:18	validator	4	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove unnecessary re.IGNORECASE flag in RSN regex to simplify detection logic and reduce over-detection.
2026-03-11T04:16:19	validator	5	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from AI_BLACKLISTED_PHRASES regex patterns to improve precision
2026-03-11T04:16:21	validator	6	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN pattern matching to focus on specific case-sensitive format
2026-03-11T04:16:23	validator	7	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag when finding 'RSN' patterns to potentially reduce false positives
2026-03-11T04:16:25	validator	8	tools/validate_submission.py	0	0.6667	0	apply_failed	apply failed: Simplify RSN and figure patterns by removing re.IGNORECASE for better precision.
2026-03-11T04:16:27	validator	9	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection by removing redundant re.IGNORECASE flag
2026-03-11T04:16:29	validator	10	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex to reduce false positives in case-sensitive RSN detection
2026-03-12T04:20:37	validator	1	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	remove re.IGNORECASE flag from RSN detection to reduce false positives
2026-03-12T04:20:40	validator	2	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection by removing re.IGNORECASE from the regex pattern
2026-03-12T04:20:42	validator	3	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove the re.IGNORECASE flag from RSN regex to focus on case-sensitive RSN detection.
2026-03-12T04:20:44	validator	4	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection regex by removing re.IGNORECASE flag to potentially improve precision
2026-03-12T04:20:46	validator	5	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN pattern matching by removing unnecessary re.IGNORECASE flag
2026-03-12T04:20:48	validator	6	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN regex to potentially reduce false positives in detection.
2026-03-12T04:20:50	validator	7	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Improve RSN detection match accuracy by making it case-sensitive
2026-03-12T04:20:52	validator	8	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	Remove re.IGNORECASE flag from RSN pattern matching to increase precision of detection and reduce false positives.
2026-03-12T04:20:54	validator	9	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection by removing re.IGNORECASE flag to ensure case-sensitive matching
2026-03-12T04:20:56	validator	10	tools/validate_submission.py	0.6667	0.6667	+0.0000	discard	simplify RSN detection by narrowing case sensitivity
2026-03-13T04:19:26	prompts	1	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	clarify the importance of SSOT hash check in 'PASO 0' to emphasize its role in pipeline integrity
2026-03-13T04:19:29	prompts	2	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	clarify rule for immediate abortion on SSOT hash mismatch
2026-03-13T04:19:31	prompts	3	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	Remove redundancy by consolidating notes on known risks in the 'Al iniciar' section
2026-03-13T04:19:33	prompts	4	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	clarify the warning action in PASO 3 for σ_max > 0.4 · fy but ≤ 0.6 · fy
2026-03-13T04:19:36	prompts	5	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify Data Provenance Rule section by removing redundant instructions on PEER records for clarity
2026-03-13T04:19:38	prompts	6	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify phrasing for consistent clarity in the Gold Rule statement
2026-03-13T04:19:39	prompts	7	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	Simplify the note in PASO 0 to improve clarity and reduce redundancy
2026-03-13T04:19:41	prompts	8	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	Simplify the rule for Coherencia Firmware ↔ Simulación by removing unnecessary columns from the parameter verification table.
2026-03-13T04:19:43	prompts	9	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	simplify the explanation of immediate pipeline abortion if hash does not match
2026-03-13T04:19:45	prompts	10	.agent/prompts/verifier.md	0.0000	0.0000	+0.0000	discard	Simplify redundant language in the identity and role section for clarity.
